provider,game_name,Game Tag,Game Sub Type,sub_category,casinoGameId,game_id,description,logo_round,logo_square,banner
Supernowa,32 Cards,LIVE,Live Table,32 Cards,C32,1,Deactive,,,
Supernowa,Akbar Romeo Walter,LIVE,Live Table,Live Dealer,ARW,2,Deactive,,,
Supernowa,Andar Bahar classic,LIVE,Live Table,Andar Bahar,ABC,3,-,,,
Supernowa,Baccarat,LIVE,Live Table,Baccarat,BAC,4,Deactive,,,
Supernowa,Andar Bahar,LIVE,Live Table,Andar Bahar,AB,5,Deactive,,,
Supernowa,Dragon Tiger,LIVE,Live Table,Dragon Tiger,DT7M,6,-,,,
Supernowa,Goa's Andar Bahar,LIVE,Live Table,Andar Bahar,AB2,7,-,,,
Supernowa,Lucky 7,LIVE,Live Table,Lucky 7,UD7,8,Deactive,,,
Supernowa,Teen Patti,LIVE,Live Table,Teen Patti,TP,9,Deactive,,,
Supernowa,Teen Patti 2020,LIVE,Live Table,Teen Patti,TP20,10,Deactive,,,
Supernowa,Teen Patti Face Off,LIVE,Live Table,Teen Patti,TPFO,11,-,,,
Supernowa,Muflis Teenpatti,LIVE,Live Table,Teen Patti,MTP7M,12,-,,,
Supernowa,RNG 3 Player Teen Patti,RNG,Virtual,Teen Patti,V3TP,13,-,,,
Supernowa,RNG 32 Cards,RNG,Virtual,32 Cards,VC32,14,-,,,
Supernowa,RNG Akbar Romeo Walter,RNG,Virtual,Slots,VARW,15,-,,,
Supernowa,RNG Baccarat,RNG,Virtual,Baccarat,VBAC,16,-,,,
Supernowa,RNG Casino Queen,RNG,Virtual,Slots,RCQ,17,-,,,
Supernowa,RNG Casino Queen 2020,RNG,Virtual,Slots,RCQ20,18,-,,,
Supernowa,RNG Dragon Tiger,RNG,Virtual,Dragon Tiger,VDT,19,-,,,
Supernowa,RNG Dragon Tiger 2020,RNG,Virtual,Dragon Tiger,VDT20,20,-,,,
Supernowa,RNG Joker,RNG,Virtual,Slots,VJKR,21,-,,,
Supernowa,RNG King Race,RNG,Virtual,Slots,VCR,22,-,,,
Supernowa,RNG Lucky 7,RNG,Virtual,Lucky 7,VUD7,23,-,,,
Supernowa,RNG Teen Patti,RNG,Virtual,Teen Patti,VTP,24,-,,,
Supernowa,RNG Teen Patti 2020,RNG,Virtual,Teen Patti,VTP20,25,-,,,
Supernowa,RNG Worli Matka,RNG,Virtual,Matka,VWM,26,-,,,
Ezugi,Gold Blackjack 5,LIVE,Live Table,Blackjack,1,27,-,,,
Ezugi,Gold Blackjack 4,LIVE,Live Table,Blackjack,4,28,Deactive,,,
Ezugi,Platinum Blackjack 1,LIVE,Live Table,Blackjack,5,29,Deactive,,,
Ezugi,Blackjack 1,LIVE,Live Table,Blackjack,201,30,Deactive,,,
Ezugi,Gold Blackjack 3,LIVE,Live Table,Blackjack,203,31,-,,,
Ezugi,Gold Blackjack 1,LIVE,Live Table,Blackjack,204,32,-,,,
Ezugi,Gold Blackjack 6,LIVE,Live Table,Blackjack,223,33,Deactive,,,
Ezugi,VIP Surrender Blackjack,LIVE,Live Table,Blackjack,224,34,-,,,
Ezugi,VIP Diamond Blackjack,LIVE,Live Table,Blackjack,225,35,-,,,
Ezugi,Rumba Blackjack 1,LIVE,Live Table,Blackjack,411,36,-,,,
Ezugi,Rumba Blackjack 2,LIVE,Live Table,Blackjack,412,37,-,,,
Ezugi,Rumba Blackjack 3,LIVE,Live Table,Blackjack,413,38,-,,,
Ezugi,Rumba Blackjack 4,LIVE,Live Table,Blackjack,414,39,-,,,
Ezugi,Turkish Blackjack 1,LIVE,Live Table,Blackjack,421,40,Deactive,,,
Ezugi,Turkish Blackjack 2,LIVE,Live Table,Blackjack,422,41,Deactive,,,
Ezugi,Russian Blackjack 1,LIVE,Live Table,Blackjack,425,42,Deactive,,,
Ezugi,Russian Blackjack 2,LIVE,Live Table,Blackjack,426,43,Deactive,,,
Ezugi,Blackjack da Sorte,LIVE,Live Table,Blackjack,260,44,-,,,
Ezugi,Blackjack A,LIVE,Live Table,Blackjack,270,45,Deactive,,,
Ezugi,Blackjack B,LIVE,Live Table,Blackjack,272,46,Deactive,,,
Ezugi,Blackjack C,LIVE,Live Table,Blackjack,273,47,Deactive,,,
Ezugi,Blackjack D,LIVE,Live Table,Blackjack,274,48,Deactive,,,
Ezugi,Blackjack E,LIVE,Live Table,Blackjack,275,49,Deactive,,,
Ezugi,Unlimited Blackjack,LIVE,Live Table,Blackjack,51,50,-,,,
Ezugi,Turkish Unlimited Blackjack,LIVE,Live Table,Blackjack,5051,51,Deactive,,,
